 Wed, 06 Dec 2017 18:49:57  INFO logger.py info [ line:36 ] ------------测试开始------------
 Wed, 06 Dec 2017 18:50:00  INFO logger.py info [ line:36 ] 验证输入非法的密码进行登录操作---测试通过
 Wed, 06 Dec 2017 18:50:06  INFO logger.py info [ line:36 ] ------------测试结束------------
 Wed, 06 Dec 2017 18:50:10  INFO logger.py info [ line:36 ] ------------测试开始------------
 Wed, 06 Dec 2017 18:50:14  INFO logger.py info [ line:36 ] 验证输入非法的用户名进行登录操作---测试通过
 Wed, 06 Dec 2017 18:50:19  INFO logger.py info [ line:36 ] ------------测试结束------------
 Wed, 06 Dec 2017 18:50:24  INFO logger.py info [ line:36 ] ------------测试开始------------
 Wed, 06 Dec 2017 18:50:26  INFO logger.py info [ line:36 ] 验证不输入密码进行登录操作---测试通过
 Wed, 06 Dec 2017 18:50:31  INFO logger.py info [ line:36 ] ------------测试结束------------
 Wed, 06 Dec 2017 18:50:36  INFO logger.py info [ line:36 ] ------------测试开始------------
 Wed, 06 Dec 2017 18:50:38  INFO logger.py info [ line:36 ] 验证不输入用户名进行登录操作---测试通过
 Wed, 06 Dec 2017 18:50:43  INFO logger.py info [ line:36 ] ------------测试结束------------
 Wed, 06 Dec 2017 18:50:48  INFO logger.py info [ line:36 ] ------------测试开始------------
 Wed, 06 Dec 2017 18:50:54  INFO logger.py info [ line:36 ] 验证登录成功功能---测试通过
 Wed, 06 Dec 2017 18:50:59  INFO logger.py info [ line:36 ] ------------测试结束------------
 Thu, 07 Dec 2017 22:15:30  INFO logger.py info [ line:36 ] ------------测试开始------------
 Thu, 07 Dec 2017 22:15:32  INFO logger.py info [ line:36 ] 验证输入非法的密码进行登录操作---测试通过
 Thu, 07 Dec 2017 22:15:37  INFO logger.py info [ line:36 ] ------------测试结束------------
 Thu, 07 Dec 2017 22:15:42  INFO logger.py info [ line:36 ] ------------测试开始------------
 Thu, 07 Dec 2017 22:15:44  INFO logger.py info [ line:36 ] 验证输入非法的用户名进行登录操作---测试通过
 Thu, 07 Dec 2017 22:15:49  INFO logger.py info [ line:36 ] ------------测试结束------------
 Thu, 07 Dec 2017 22:15:54  INFO logger.py info [ line:36 ] ------------测试开始------------
 Thu, 07 Dec 2017 22:15:56  INFO logger.py info [ line:36 ] 验证不输入密码进行登录操作---测试通过
 Thu, 07 Dec 2017 22:16:01  INFO logger.py info [ line:36 ] ------------测试结束------------
 Thu, 07 Dec 2017 22:16:05  INFO logger.py info [ line:36 ] ------------测试开始------------
 Thu, 07 Dec 2017 22:16:07  INFO logger.py info [ line:36 ] 验证不输入用户名进行登录操作---测试通过
 Thu, 07 Dec 2017 22:16:13  INFO logger.py info [ line:36 ] ------------测试结束------------
 Thu, 07 Dec 2017 22:16:17  INFO logger.py info [ line:36 ] ------------测试开始------------
 Thu, 07 Dec 2017 22:16:27  INFO logger.py info [ line:36 ] 验证登录成功功能---测试通过
 Thu, 07 Dec 2017 22:16:32  INFO logger.py info [ line:36 ] ------------测试结束------------
